2414_128292_000001_000000	My shadow calleth me?	My shadow calleth me?
2414_128292_000001_000001	What matter about my shadow!	What matter about my shadow!
2414_128292_000003_000000	"What!" said he, "have not the most ludicrous things always happened to us old anchorites and saints?	"What!" said he, "have not the most ludicrous things always happened to us old anchorites and saints?
2414_128292_000010_000000	What?	What?
2414_128292_000010_000001	Must I ever be on the way?	Must I ever be on the way?
2414_128292_000013_000000	With thee have I wandered about in the remotest, coldest worlds, like a phantom that voluntarily haunteth winter roofs and snows.	With thee have I wandered about in the remotest, coldest worlds, like a phantom that voluntarily haunteth winter roofs and snows.
2414_128292_000016_000002	It is also skin.	It is also skin.
2414_128292_000016_000003	The devil himself is perhaps--skin.	The devil himself is perhaps-skin.
2414_128292_000017_000000	'Nothing is true, all is permitted': so said I to myself.	'Nothing is true, all is permitted': so said I to myself.
2414_128292_000017_000002	Ah, how oft did I stand there naked on that account, like a red crab!	Ah, how oft did I stand there naked on that account, like a red crab!
2414_128292_000018_000000	Ah, where have gone all my goodness and all my shame and all my belief in the good!	Ah, where have gone all my goodness and all my shame and all my belief in the good!
2414_128292_000022_000001	A haven towards which MY sail is set?	A haven towards which MY sail is set?
2414_128292_000024_000000	What still remaineth to me?	What still remaineth to me?
2414_128292_000027_000000	Thus spake the shadow, and Zarathustra's countenance lengthened at his words.	Thus spake the shadow, and Zarathustra's countenance lengthened at his words.
2414_128292_000030_000000	Beware lest in the end a narrow faith capture thee, a hard, rigorous delusion!	Beware lest in the end a narrow faith capture thee, a hard, rigorous delusion!
2414_128292_000031_000000	Thou hast lost thy goal.	Thou hast lost thy goal.
2414_128292_000031_000001	Alas, how wilt thou forego and forget that loss?	Alas, how wilt thou forego and forget that loss?
